label	category
1	none
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	none
0	syntax
1	none
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
1	none
0	none
0	morphology
0	syntax
0	syntax
1	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	morphology
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	none
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
1	syntax
1	none
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
0	syntax
1	none
1	none
0	syntax
1	none
0	syntax
1	none
0	syntax
1	none
0	syntax
0	syntax
1	none
0	syntax
