label	category	explanation	correction
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any changes.



"
0	syntax	". The mistake is the missing article ""the"" before the word ""Sally.""
"	". The correct version of the sentence would be: ""Who does John visit Sally because he likes her?""



"
1	none	". None.
"	". The correct version of the sentence is: ""Marianne did not leave.""



"
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any changes.



"
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any changes.



"
0	syntax	". The mistake is in the verb ""believe."" It should be in the present tense ""believe"" instead of the past tense ""believed.""
"	". The correct version of the sentence is ""You will believe in Bob.""



"
1	none	". None.
"	". The correct version of the sentence is: ""John has not kissed Mary.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The correct order should be ""I said that never in my life had I seen a place like Bangor.""
"	". The correct version of the sentence is: ""I said that never in my life had I seen a place like Bangor.""



"
0	syntax	". The mistake is in the subject-verb agreement. The pronoun ""it"" does not agree with the subject ""Mickey.""
"	". The correct version of the sentence would be ""Mickey looked up.""



"
1	none	". None.
"	". The correct version of the sentence is: ""There tends to be a lot of discussion.""



"
1	none	". None.
"	". Your sentence is grammatically correct.



"
1	syntax	". None.
"	". The correct version of the sentence is: ""John is eager.""



"
1	none	". None.
"	". The correct version of the sentence is: ""We want John to win.""



"
0	syntax	". The mistake is the lack of an article ""the"" before the word ""box"".
"	". The correct version of the sentence would be: ""The box contains the ball from the tree.""



"
0	syntax	". The mistake is in the verb tense. ""Escape"" is a verb that requires a present tense ending, but it is in the past tense in your sentence.
"	". The correct version of the sentence would be: ""The tube was escaped by gas."" (Note: I changed ""was escaped"" to ""was escaping"" to make it present tense.)



"
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any changes.



"
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any changes.



"
0	syntax	". The mistake is in the verb form. ""Fill"" is a verb, but it should be ""filled"" to match the past tense of the sentence.
"	". The correct version of the sentence would be: ""What the water did to the bottle was fill it."" (Note: I corrected ""fill"" to ""filled"" in the sentence.)



"
0	syntax	". The mistake is in the verb tense. ""Fill"" is a present tense verb, but the sentence implies that the action of filling the bottle happened in the past. To correct the sentence, you can use the past tense of the verb, such as ""What the water did was fill the whole bottle.""
"	". The correct version of the sentence is: ""What the water did was fill the whole bottle.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""leaked"" should be in its base form ""leak"" as the subject ""tank"" is singular, while it is in its third form ""leaks"" as the subject ""tank"" is plural.
"	". The correct version of the sentence would be: ""The tank leaked fluid free.""



"
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any changes.



"
1	none	". None.
"	". The correct version of the sentence is: ""John owns the book.""



"
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any changes.



"
0	syntax	". The mistake is the missing article ""the"" before the word ""courts.""
"	". The correct version of the sentence would be: ""Most people probably consider, even though the courts didn't actually find, Klaus guilty of murder.""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""Mary beautifully plays the violin.""



"
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any changes.



"
0	syntax	". The mistake is that the verb ""gave"" should be in its base form ""give"" as the subject ""Sue"" is third person singular.
"	". The correct version of the sentence would be: ""Sue gave to Bill a book.""



"
1	none	". None.
"	". The correct version of the sentence is: ""The men will all leave.""



"
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any correction.



"
0	syntax	". The mistake is in the word order. ""They represented seriously to the dean Mary as a genuine linguist"" should be ""They represented Mary as a genuine linguist to the dean.""
"	". The correct version of the sentence is ""They represented Mary as a genuine linguist to the dean.""



"
0	syntax	". The mistake is in the subject-verb agreement. The pronoun ""they"" does not agree with the subject ""us"" in number.
"	". The correct version of the sentence would be: ""We love they.""



"
1	none	". None.
"	". The correct version of the sentence is: ""It is nice to go abroad.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The sentence should be ""John intended for Mary to go abroad.""
"	". The correct version of the sentence is ""John intended for Mary to go abroad.""



"
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any changes.



"
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any changes.



"
1	none	". None.
"	". The correct version of the sentence is: ""John wants to read Fred's story, and I also want to.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""decided"" should be in its past tense form ""decided"" instead of ""deciding"" to match the subject ""we"".
"	". The corrected sentence would be: ""We wanted to invite someone, but we couldn't decide who to.""



"
0	syntax	". The mistake is the missing article ""the"" before the noun ""story.""
"	". The correct version of the sentence would be: ""The Mary will read Fred's story, and Joe will read Holly's.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""shouldn't"" should agree with its subject ""Holly"" in number.
"	". The correct version of the sentence would be: ""Mary claimed that eating cabbage, Holly shouldn't.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""bartender.""
"	". The correct version of the sentence would be: ""The bartender introduced Mary and I also came to be introduced.""



"
1	none	". None.
"	". Your sentence is grammatically correct.



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""bother"" should agree with its subject ""patrons"" in number. The correct sentence should be ""Joe's neuroses bother his patrons, and Sally's do too.""
"	". The correct version of the sentence is ""Joe's neuroses bother his patrons, and Sally's do too.""



"
0	syntax	". The mistake is in the word order. The correct order should be: ""I know which book Lilly read for class, and which book José didn't read.""
"	". The corrected sentence is: ""I know which book Lilly read for class, and which book José didn't read.""



"
0	syntax	". The mistake is in the placement of the comma. It should be after ""which Bob reviewed"" and before ""and this is the one which Fred won't do it.""
"	". The correct version of the sentence would be: ""This is the book which Bob reviewed, and this is the one which Fred won't do it.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""said"" should agree with its subject ""Bob"" in number, which is singular.
"	". The correct version of the sentence would be: ""I know which book Mag read, and which book Bob said that you hadn't.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""read"" should be in its base form ""read"" instead of ""reads"" to match the subject ""book"".
"	". The corrected sentence would be: ""I know which book Mag read and which book Bob read my report that you hadn't.""



"
0	syntax	". The mistake is in the word order. The correct order should be ""I'm sure I would like him to eat fruit more than I would cookies.""
"	". The correct version of the sentence is: ""I'm sure I would like him to eat fruit more than I would cookies.""



"
0	syntax	". The mistake is in the word order. The correct order should be: ""Mary talked about Rusty, and then Rusty talked about himself.""
"	". The corrected sentence is: ""Mary talked about Rusty, and then Rusty talked about himself.""



"
0	syntax	". The mistake is that you used the word ""talk"" twice in the same sentence, which is redundant.
"	". The correct version of the sentence would be: ""Fred talked about everything before Rusty talked about something.""



"
1	none	". None.
"	". The correct version of the sentence is: ""John often meets Mary.""



"
0	syntax	". The mistake is that ""perceives"" is the third person singular form of the verb ""perceive,"" which should be used instead.
"	". The correct version of the sentence is: ""The problem perceives easily.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""surrounded"" should be in its present participle form ""surrounding"" to agree with the subject ""hundred men.""
"	". The correct version of the sentence would be: ""A hundred men surrounded the fort.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""me"".
"	". The correct version of the sentence is: ""We elected me.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""submit"" should agree with the subject ""report"" in number.
"	". The correct version of the sentence would be: ""Which report, that John was incompetent, did he submit?""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""Mary has always preferred lemons to limes.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""let"" should be in its base form ""let"" instead of ""let's"" because the subject is singular ""he"" and not plural ""he and the cats.""
"	". The correct version of the sentence would be: ""He let the cats whine.""



"
0	syntax	". The mistake is the lack of a verb in the sentence. It should be ""What did Bill buy?"" instead of ""What did Bill buy?""
"	". The correct version of the sentence is ""What did Bill buy?""



"
1	none	". None.
"	". The correct version of the sentence is: ""Mary saw the boy walking towards the railroad station.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""giver"" should be ""given"" to agree with the subject ""that.""
"	". The correct version of the sentence would be: ""A proof that the claim had been made was given that John had lied.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is in the verb tense. ""Regarded"" should be in the past tense ""regarded"" instead of the present tense ""regards.""
"	". The correct version of the sentence would be: ""The mayor regarded as being absurd the proposal to build a sidewalk from Dartmouth to Smith.""



"
0	syntax	". The mistake is in the word order. The correct word order would be ""I want that Bill left to remain a secret.""
"	". The correct version of the sentence is ""I want that Bill left to remain a secret.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. It should be ""I know a man who drives Tom.""
"	". The correct version of the sentence is ""I know a man who drives Tom.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""cats"".
"	". The correct version of the sentence would be: ""The drowning of cats, which is against the law, is hard to rescue.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""said"" should be in its base form ""say"" to agree with the subject ""Muriel.""
"	". The correct version of the sentence would be: ""Muriel said nothing else than that she had been insulted.""



"
0	syntax	". The mistake is in the subject of the sentence. ""Himself"" should be ""he himself"" to make the sentence grammatically correct.
"	". The correct version of the sentence would be: ""He himself is understood by Rutherford.""



"
1	none	". None.
"	". Your sentence is grammatically correct and convey your intended meaning.



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""is"" should agree with its subject ""proof"" which is a singular noun.
"	". The correct version of the sentence is: ""The proof that this set is recursive is difficult.""



"
0	syntax	". The mistake is in the word order. ""The lute and sings sound"" should be ""Sounds the lute and sings.""
"	". The correct version of the sentence is: ""The madrigals that Henry plays the lute and sings sound lousy.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is the missing article ""the"" before the word ""what"".
"	". The correct version of the sentence would be: ""Where did you go and who ate what?""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""elect"" should agree with its subject ""boy's"" which is in the plural form, so the verb should also be in the plural form ""did elect"".
"	". The correct version of the sentence would be: ""Which boy did we elect as guardian's employer president?""



"
0	syntax	". The mistake is in the subject of the sentence. ""How sane is Peter?"" should be ""Is Peter sane?"" because ""how"" is not used to ask about the state of being of a person.
"	". The correct version of the sentence is ""Is Peter sane?""



"
0	syntax	". The mistake is in the placement of the verb ""lives."" It should be placed after the second ""crosses"" to maintain subject-verb agreement.
"	". The correct version of the sentence would be: ""I live at the place where Route 150 crosses the River, and my dad lives at the place where Route 150 crosses the Hudson River too.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""Hudson River.""
"	". The correct version of the sentence would be: ""I live at the place where Route 150 crosses the Hudson River, and my dad lives there too.""



"
0	syntax	". The mistake is in the subject of the sentence. It should be ""Who is she trying to make up now?"" instead of ""Who is she trying to make up to now?""
"	". The correct version of the sentence is: ""Who is she trying to make up now?""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The sentence should be ""The wind was gotten to negotiate an honorable end to the war in Vietnam.""
"	". The correct version of the sentence is ""The wind was gotten to negotiate an honorable end to the war in Vietnam.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""fire"" should agree with the subject ""principal"" in number, which is singular. The correct sentence should be: ""It was expected by the reporters that the principal would fire some teacher.""
"	". The correct version of the sentence is: ""It was expected by the reporters that the principal would fire some teacher.""



"
0	syntax	". The mistake is in the word ""quip."" It should be ""quiped"" or ""quipped"" to match the past tense of the verb ""wear.""
"	". The correct version of the sentence would be: ""Which hat did Mike quip that she never wore?"" or ""Which hat did Mike quip that she had never worn?""



"
0	syntax	". The mistake is in the subject of the sentence. ""Which girl"" is not agreed with the verb ""did Mike quip."" It should be ""Did Mike quip which girl?"" or ""Mike quip which girl?""
"	". The correct version of the sentence would be: ""Did Mike quip which girl never wore this hat?"" or ""Mike quip which girl never wore this hat?""



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is the missing article ""the"" before the word ""money"".
"	". The correct version of the sentence would be: ""I won't have some money."" or ""I won't have any money.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is the missing article ""the"" before the word ""money"".
"	". The correct version of the sentence would be: ""I won't ask you to believe that he tried to force me to give her any money.""



"
1	none	". None.
"	". The correct version of the sentence is.



"
0	syntax	". The mistake is that you have used the present participle ""talked"" instead of the base form ""talk"" when talking about a proper noun.
"	". The correct version of the sentence would be: ""I talked to Winston about himself.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""wanted"" should agree with its subject, which is ""the fuzz"" in both cases.
"	". The correct version of the sentence would be: ""That the fuzz wanted him worried, but that the fuzz wanted her didn't worry Mary.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""I'll work on it"" should be ""I will work on it"" to match the verb ""will be working"" in the clause ""if Sam will be working on it.""
"	". The correct version of the sentence would be: ""I will work on it if Sam will be working on it.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""work on it.""
"	". The correct version of the sentence would be: ""I'll work on it if I can.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""knife"".
"	". The correct version of the sentence would be: ""Here's a knife for you to cut up the onions.""



"
0	syntax	". The mistake is in the word order. The correct order should be: ""Not everybody knows that Fluffy is sick.""
"	". The correct version of the sentence is: ""Not everybody knows that Fluffy is sick.""



"
0	syntax	". The mistake is in the spelling of the verb ""is"" as ""docter"" instead of ""doctor"".
"	". The correct version of the sentence would be: ""Maxwell is quite a doctor.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""woman.""
"	". The correct version of the sentence would be: ""The younger woman might have been tall and the older one definitely was, blond.""



"
0	syntax	". The mistake is the incorrect use of the verb ""to be"" in the sentence. The verb ""to be"" should be ""is"" before the subject ""Sheila.""
"	". The correct version of the sentence would be: ""Sally is tall and may be blond. Sheila is short and definitely is blond.""



"
0	syntax	". The mistake is the use of the present participle ""trying"" instead of the base form ""try"" to indicate the action of attempting or making an effort.
"	". The correct version of the sentence would be: ""I have to try to finish grading some papers.""



"
0	syntax	". The mistake is in the word order. The correct order should be: ""The socks are ready for you to put on.""
"	". The correct version of the sentence is: ""The socks are ready for you to put on.""



"
1	none	". None.
"	". The correct version of the sentence is: ""It is easy to play sonatas on this violin.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""sonatas.""
"	". The correct version of the sentence is: ""This violin is difficult to play sonatas on it.""



"
0	syntax	". The mistake is that you have used the conjunction ""and"" instead of the appropriate conjunction for a sentence with two independent clauses, which is ""or"" or ""but"".
"	". The correct version of the sentence would be either:
* ""My mother is easy to please, and my father is also easy to please.""
* ""My mother is easy to please, but my father is not.""
Note: The first option is more commonly used in English to connect two independent clauses with a coordinating conjunction.



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""had"" should agree with the subject ""Bill"" which is singular. It should be ""had"" instead of ""has"".
"	". The correct version of the sentence would be: ""Poor Bill, it has started to rain and he has no umbrella.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""is"" should be ""was"" to agree with the subject ""the cops.""
"	". The correct version of the sentence would be: ""That the cops spoke to the janitor about it yesterday is terrible; that robbery.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""student.""
"	". The correct version of the sentence would be: ""Every student, and he wears socks, is a swinger.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""That girl"" should be ""He"" as ""he"" is the subject of the sentence.
"	". The correct version of the sentence would be ""He gave her my binoculars.""



"
0	syntax	". The mistake is in the word ""alleged."" It should be ""allege"" to match the past tense of the verb ""didn't.""
"	". The correct version of the sentence is: ""Bill didn't allege that Roger had eaten anything.""



"
0	syntax	". The mistake is in the word order. The correct word order would be: ""Nobody who hates to eat anything should work in a delicatessen.""
"	". The correct version of the sentence is: ""Nobody who hates to eat anything should work in a delicatessen.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""everybody.""
"	". The correct version of the sentence would be: ""The everybody around here who ever buys anything on credit talks in his sleep.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""had"" should be in its past participle form ""had"" instead of ""have"" to agree with the subject ""I"".
"	". The correct version of the sentence would be: ""I can't remember the name of someone who had misgivings.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""meets"" should be in its base form ""meet"" as the subject ""writer"" is singular, while the verb ""meets"" is in its third form, which is used for regular verbs in the past tense.
"	". The correct version of the sentence would be: ""No writer meets in Vienna.""



"
0	syntax	". The mistake is the incorrect use of the verb ""meets."" It should be ""meet"" in the past tense, as the sentence is in the past tense.
"	". The correct version of the sentence would be: ""No writer, nor any playwright, has met in Vienna.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""will marry"" should agree with the subject ""you"" in number, which is singular. The correct version of the sentence would be: ""That you will marry any student is not certain.""
"	". The correct version of the sentence is: ""That you will marry any student is not certain.""



"
0	syntax	". The mistake is in the verb form. The correct version of the sentence would be: ""Felicia kicked the ball off the bench.""
"	". The corrected sentence is: ""Felicia kicked the ball off the bench.""



"
0	syntax	". The mistake is in the verb ""sent"". It should be ""sentence"" to correctly convey the meaning of sending a package.
"	". The correct version of the sentence would be: ""I sent the package halfway around the world.""



"
0	syntax	". The mistake is in the verb tense. ""Gave"" is in the past tense, but the action of taking the ball out of the basket is ongoing and should be in the present tense.
"	". The correct version of the sentence would be: ""Sam is giving the ball out of the basket.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""offered"" should be in its base form ""offer"" as the subject ""Sam"" is singular, while the verb ""out"" is in its gerund form ""offering.""
"	". The correct version of the sentence would be: ""Sam offered the ball out of the basket.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The correct version of the sentence is: ""The worker will have a job.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""No one"" is a singular noun, and it should be followed by a singular verb ""can forgive,"" not ""forgives.""
"	". The correct version of the sentence would be: ""No one can forgive that comment to you.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The sentence should be ""We launched the rocket to the moon, but it blew up before it got there.""
"	". The correct version of the sentence is ""We launched the rocket to the moon, but it blew up before it got there.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb in the second clause. The verb ""gave"" should come after the subject ""her son.""
"	". The correct version of the sentence would be: ""Sarah promised Catherine her old car, but then gave it to her son instead.""



"
0	syntax	". The mistake is in the use of the verb ""lent"" instead of ""lend.""
"	". The correct version of the sentence would be: ""I lend the book partway to Tony.""



"
1	none	". None.
"	". The correct version of the sentence is: ""The farmer loaded the cart with apples.""



"
0	syntax	". The mistake is in the subject-verb agreement. ""The farmer"" should be ""a farmer"" because ""dumped"" is a third-person singular verb, which requires a third-person singular subject.
"	". The correct version of the sentence would be: ""A farmer dumped the cart with apples.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The sentence should be ""Martha carved a toy out of wood for the baby.""
"	". The correct version of the sentence is ""Martha carved a toy out of wood for the baby.""



"
1	none	". None.
"	". The correct version of the sentence is: ""The bread cuts easily.""



"
0	syntax	". The mistake is the incorrect use of the verb ""to break."" It should be ""broke"" in the past tense to correctly convey the meaning of the sentence.
"	". The correct version of the sentence would be: ""Janet broke Bill's finger.""



"
1	none	". None.
"	". The correct version of the sentence is: ""Janet broke the cup.""



"
1	none	". None.
"	". The correct version of the sentence is: ""The visitor rang the bell.""



"
0	syntax	". The mistake is the missing article ""the"" before the word ""free"".
"	". The correct version of the sentence would be: ""We pulled the free.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The sentence is grammatically correct.



"
0	syntax	". The mistake is that you have used the wrong form of the verb ""to come."" You should use the present tense form ""comes"" instead of the past tense form ""came.""
"	". The correct version of the sentence would be: ""Sharon comes the room.""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""Bill sent a package to Tom.""



"
1	none	". None.
"	". That acorn will grow into an oak tree.



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The sentence is grammatically correct.


"
0	syntax	". The mistake is in the verb tense. ""Threw"" is in the past tense, but the sentence is written in the present tense.
"	". The correct version of the sentence would be: ""Brian throws the fence with the stick.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The correct version of the sentence is: ""We investigated the area for bombs.""



"
1	none	". None.
"	". Your sentence is grammatically correct.



"
0	syntax	". The mistake is the incorrect use of the possessive apostrophe. Instead of adding an apostrophe after ""dedication,"" you should add it after ""volunteers"" to indicate ownership.
"	". The correct version of the sentence is: ""They praised the dedication of the volunteers.""



"
1	none	". None.
"	". The correct version of the sentence is: ""The earth was believed to be round.""



"
0	syntax	". Mistake: The verb ""smiled"" should be in its base form ""smile"" as it is the second verb in the infinitive phrase ""to smile a charming smile.""
"	". Corrected sentence: Sarah smiled a charming smile.



"
1	none	". None.
"	". The sentence is grammatically correct.



"
0	syntax	". The mistake is in the verb tense. ""You've"" is in the present perfect tense, which is used to describe an action that started in the past and continues to the present, while ""lived"" is in the simple past tense, which is used to describe an action that started in the past and ended at a specific time in the past.
"	". The correct version of the sentence would be: ""You have really lived it up.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The sentence should be ""Paperback books lift easily onto the table.""
"	". The correct version of the sentence is ""Paperback books lift easily onto the table.""



"
1	none	". None.
"	". The sentence is grammatically correct as it is.



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". Your sentence is grammatically correct.



"
0	syntax	". The mistake is in the verb tense. ""Crammed"" is in the past tense, but the sentence is in the present tense. The correct verb to use in this sentence is ""cram"" in the present tense.
"	". The correct version of the sentence is: ""Jessica crams boxes at the truck.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The sentence should be ""Lora buttered the toast.""
"	". The correct version of the sentence is ""Lora buttered the toast.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". Nora sent the book.



"
0	syntax	". The mistake is that the verb ""sent"" should be in its base form ""send"" to match the past tense of the sentence.
"	". The correct version of the sentence would be: ""Nora sent Peter the book.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
0	syntax	". The mistake is the lack of a verb in the sentence. It should be ""Carla slid at the book."" instead of ""Carla slid at the book.""
"	". The correct version of the sentence is ""Carla slid at the book.""



"
1	none	". None.
"	". The correct version of the sentence is: ""Amanda carried the package to Pamela.""



"
0	syntax	". The mistake is the incorrect use of the verb ""to drive."" It should be ""drives"" in the present tense to match the subject ""packages.""
"	". The correct version of the sentence would be: ""Packages drive easily to New York.""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""The chair was pushed.""



"
1	none	". None.
"	". The correct version of the sentence is: ""We offered her a job.""



"
1	none	". None.
"	". The correct version of the sentence is: ""A job is offered.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The correct version of the sentence is: ""Carmen bought Mary a dress.""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""Carmen obtained the spare part at the hardware store.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""kept"" should be in its past tense form ""kept"" instead of the present tense form ""keep"".
"	". The correct version of the sentence would be: ""Michelle kept the desk with the papers.""



"
0	syntax	". The mistake is in the verb tense. ""Hid"" is in the past tense, but it should be in the present tense to indicate the ongoing action of hiding the presents. The correct version of the sentence would be: ""Frances hides the presents in the drawer.""
"	". The corrected sentence is: ""Frances hides the presents in the drawer.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The sentence is grammatically correct.



"
0	syntax	". The mistake is in the order of the subject and the verb. ""Herman"" should come before ""whipped"" in the sentence.
"	". The correct version of the sentence would be: ""Herman whipped the sugar and cream.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
0	syntax	". The mistake is the lack of an article ""the"" before the word ""picture"".
"	". The correct version of the sentence would be: ""The Linda taped the picture onto the wall.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The sentence is grammatically correct.



"
0	syntax	". The mistake is the incorrect use of the pronoun ""that"" in the sentence, as it should refer to the flyer that is being contrasted with the flyer mentioned earlier.
"	". The correct version of the sentence would be: ""This flyer and this flyer differ apart.""



"
0	syntax	". The mistake is in the subject-verb agreement. The verb ""scribbled"" should be in its base form ""scribble"" as the subject ""the jeweller"" is singular.
"	". The correct version of the sentence would be: ""The jeweller scribbled the contract with his name.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
0	syntax	". The mistake is the use of the present tense ""shaped"" instead of the present perfect tense ""have shaped"" to describe a completed action in the past.
"	". The correct version of the sentence would be: ""I have shaped a loaf.""



"
0	syntax	". The mistake is in the subject of the sentence. It should be ""The children are amused"" instead of ""The children amused.""
"	". The correct version of the sentence is ""The children are amused.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". Your sentence is grammatically correct.



"
1	none	". None.
"	". The correct version of the sentence is: ""Ellen said about the present conditions.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The correct version of the sentence is: ""Cynthia nibbled on the carrot.""



"
1	syntax	". None.
"	". The correct version of the sentence is: ""Cynthia chews.""



"
1	none	". None.
"	". The correct version of the sentence is: ""Paul laughed at Mary.""



"
0	syntax	". The mistake occurs because you used the preposition ""at"" instead of ""with"" when describing the action of winking.
"	". The correct version of the sentence is: ""Linda winked at her lip.""



"
0	syntax	". The mistake is the incorrect order of the subject and the verb. The sentence should be ""My heart is pounding.""
"	". The correct version of the sentence is ""My heart is pounding.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". Your sentence is grammatically correct and there is no need for any correction.



"
0	syntax	". The mistake is in the verb ""squeaked."" It should be ""squeeze"" as ""squeaked"" is the past tense of ""squeeze.""
"	". The correct version of the sentence is: ""I squeezed the door.""



"
1	none	". None.
"	". The sentence is grammatically correct.



"
1	none	". None.
"	". The correct version of the sentence is: ""Soaring temperatures are predicted for this weekend.""



"
