label	correction
0	" The correct version of your sentence is: John pleases Kim easily.
"
1	" The correct version of your sentence is: There seemed to be intelligent life.
"
1	" The correct version of the sentence is: John tried to please Stephen.
"
1	" The correct version of the sentence is: We believed John to be a source of refreshment in the park.
"
1	" The correct version of the sentence is: It attempts to leave the country.
"
0	" The correct version of your sentence is: John attempts to leave the country.
"
1	" Here's the correct version of the sentence: Under the bed seems to be a fun place to hide.
"
1	" Here's the corrected sentence: There are believed to be sheep in the park.
"
1	" The correct version of your sentence would be: I hope to study in France.
"
1	" The correct version of your sentence is: John can kick the ball.
"
1	" The correct version of your sentence should be ""John will rain tomorrow."" instead of ""John will rain tomorrow."" as it is a more grammatically correct way to express the same idea.
"
1	" The correct version of your sentence is: We expect it to rain.
"
1	" The correct version of the sentence is: John was found inside the office.
"
1	" The correct version of the sentence would be: ""Did the child go to school?""
"
1	" The correct version of your sentence is: It did not rain.
"
1	" The correct version of your sentence is: John does not want to leave the town.
"
1	" Here's the corrected sentence: Mary likes to tour art galleries, but Bill does not like to.
"
1	" The correct version of your sentence is: They don't need to take this exam.
"
1	" The correct version of your sentence is: Ann may spend her vacation in Italy.
"
1	" Here's the correct version of your sentence: They love to play golf, but I do not.
"
1	" The correct version of your sentence is: George has spent a lot of money, hasn't he?
"
1	" Here's the corrected sentence: As a statesman, he could do very little that was worth mentioning.
"
1	" The correct version of your sentence is: We never found any unicorns.
"
1	" The correct version of the sentence is: One of Korea's most famous poets wrote these lines.
"
1	" Here's the corrected sentence: Someone apparently struck the unidentified victim during the early morning hours.
"
1	" The car was driven by [name].
"
1	" The correct version of your sentence is: Ricky can be relied upon.
"
1	" The bed had been slept in.
"
1	" The correct version of the sentence should be: ""A pound was weighed by the book.""
"
1	" The correct version of the sentence is: Who did Tom see?
"
1	" The correct version of your sentence is: He had spent $5,000.
"
1	" The corrected sentence would be: Fed knows whom to vote for.
"
1	" Here's the corrected sentence: How did you know that he fixed the computer?
"
1	" The committee knows whose efforts to achieve peace should be honored.
"
1	" The correct version of the sentence is: ""Which house does your friend live in?""
"
1	" The baker from whom I bought these bagels left.
"
1	" There is no need to change anything in your original sentence. It's already perfect!
"
1	" The correct version of the sentence is: Jack is the person with whom Jenny fell in love.
"
1	" The correct version of your sentence is: There is a bench on which to sit.
"
1	" The correct version of your sentence is: I met the man who grows peaches.
"
1	" The correct version of the sentence would be: Which topic did you choose without his approval?
"
1	" The correct version of the sentence is: Which topic did you get bored because Mary talked about it?
"
1	" There is no need to provide a corrected version; your original sentence is already perfect!
"
1	" The correct version of your sentence is: It bothers me that John coughs constantly.
"
1	" The correct version of your sentence is: To please John is easy.
"
1	" The correct version of the sentence is: Kim is eager to please Tom.
"
1	" The correct version of your sentence is: That our invasion of Iraq really bites.
"
1	" The correct version of your sentence is: It bothers me that Fido barks.
"
1	" The correct version of your sentence is: Angela achieved the best result.
"
1	" The correct version of the sentence is: It was the peasant girl who got it.
"
1	" Here's the corrected version of your sentence: That kind of person is hard to find anyone to look after.
"
1	" The correct version of your sentence is: An owl that is sick does not hunt mice.
"
1	" Here's the corrected sentence for you: Each candidate who has an interest in semantics will be admitted to the department.
"
1	" Here's the corrected sentence for you: Each author whose contribution is written in any language other than English will provide a summary in English.
"
1	" The correct version of your sentence is: I'm sure we even got these tickets!
"
1	" The correct version of your sentence is: I'm not even sure if we got these tickets!
"
1	" Here's the correct version of your sentence: It's not because I have any sympathy for urban guerrillas that I helped him.
"
1	" Here's the corrected sentence for you: It isn't because Sue said anything bad about me that I'm angry.
"
1	" The correct version of the sentence would be: That he was hungry, John whined.
"
1	" The correct version of your sentence is: I gave Mary a book after the party.
"
1	" Here's the corrected sentence: Because she's so pleasant, I really like Mary.
"
1	" Here's the corrected sentence: Though he may hate those who criticize Carter, it doesn't matter.
"
1	" The correct version of your sentence is: Without a job, John would not be happy.
"
1	" The correct version of your sentence is: I have much of the manuscript left to type.
"
1	" The correct version of the sentence is: He's a more reliable man than you.
"
1	" The correct version of your sentence would be: ""I don't want any trouble.""
"
1	" The correct version of your sentence is: They may grow as tall as bamboo.
"
1	" The correct version of your sentence is: Some of them made as many errors as 20 does.
"
1	" The correct version of the sentence should be ""Sally kissed herself.""
"
1	" Here's the correct version of your sentence: Drew believes that I think Rosie loves magazine ads.
"
1	" The correct version of your sentence is: Dave, Dan, Erin, Jaime, and Alina left.
"
1	" There is no need to make any changes. Your sentence is already perfect!
"
1	" Here's the corrected sentence: Blue leather shows Betsy to be pretty.
"
1	" The correct version of your sentence is: Gwen threw the baseball.
"
1	" The correct version of your sentence would be: I hoped that you knew the answer.
"
1	" The correct version of the sentence would be: I've lost my wallet or I've lost my mind.
"
1	" The correct version of your sentence is: It was a brand-new car that he bought. (Note the hyphenation in ""brand-new"" to form an adjective.)
"
1	" The correct version of your sentence is: He likes cookies, but he hates crumb cake.
"
1	" The correct version of your sentence is: They chased the man with their car.
"
1	" The correct version of your sentence is: I didn't have a single red cent.
"
1	" The book of poems by Blackwell takes a very long time to read.
"
1	" The one with a red cover takes a very long time to read.
"
1	" There is no need to make any changes to your original sentence. Well done!
"
1	" The correct version of the sentence is: The building's roof is leaking.
"
1	" The correct version of your sentence is: ""The panther's coat is dark black.""
"
1	" The correct version of your sentence is: Colin asked if they could get a mortgage loan.
"
1	" The man I saw get into the cab robbed the bank.
"
1	" The correct version of your sentence is: I know you eat asparagus.
"
1	" The correct version of the sentence is: John's drumming will always bother me.
"
1	" The correct version of your sentence is: An evil thought occurred to Dave.
"
1	" There is no need to make any changes to your original sentence. Well done!
"
1	" The correct version of the sentence is: Philip gave the medal to the soldier.
"
1	" Heidi thinks that Andy should eat salmon-flavored candy bars.
"
1	" Heidi thinks that Andy should eat salmon-flavored candy bars. (Note: I changed ""salmon flavored"" to ""salmon-flavored"" as the correct form.)
"
1	" The correct version of your sentence is: He danced gracefully.
"
1	" The correct version of the sentence should be: Did Calvin do his homework?
"
1	" Sylvia was slapping Jeff on the head in martial arts class.
"
1	" The correct version of your sentence would be: ""If I were a rich man, I'd buy a diamond ring.""
"
1	" The correct version of the sentence is: ""If he were rich, he'd buy a diamond ring.""
"
1	" The correct version of your sentence is: John may leave.
"
1	" The manager smiled.
"
1	" The correct version of your sentence is: Was sunk.
"
1	" The correct version of your sentence would be: Who did you think kissed the gorilla?
"
1	" The correct version of your sentence is: Have you seen my model airplane collection?
"
1	" The correct version of your sentence is: It seems that Lucy was mugged.
"
1	" There's no need to change anything! Your sentence is already perfect as it is.
"
1	" Here's the corrected sentence: Four men were arriving at the station when I pulled up.
"
1	" The correct version of your sentence is: Jean is hesitant to dance.
"
1	" The correct version of your sentence is: I want her to dance.
"
1	" There is no need to make any changes to your sentence. It is already perfect!
"
1	" The correct version of the sentence is: Jean wants Bill to do the Macarena dance.
"
1	" The children admire their mother. (Correct version)
"
1	" The correct version of your sentence is: Who has Peter talked to?
"
1	" The correct version of your sentence is: Heidi likes her violin.
"
1	" The correct version of the sentence would be: John thinks that Mary loves him.
"
1	" The correct version of your sentence is: Which pictures does John like of himself?
"
1	" Here's the sentence with proper noun capitalization: Any owl hunts mice.
"
1	" The correct version of the sentence is: Any man did not eat dinner.
"
1	" The correct version of your sentence is: A pilot might be flying this plane.
"
1	" Here's the corrected sentence: Everybody who attended last week's huge rally signed the petition, regardless of who they were.
"
1	" The correct version of your sentence is: Anyone who attended last week's huge rally signed the petition.
"
1	" Here's the correct version of your sentence: Any tiger has orange fur marked with black stripes.
"
1	" Here's the corrected sentence for you: Any albino tiger has orange fur marked with black stripes.
"
1	" The correct version of your sentence is: You must pick any flower that you see.
"
1	" The correct version of the sentence is: ""Any pilot on duty today could be flying this plane.""
"
1	" The correct version of the sentence is: You may pick every flower, but leave some for Mary.
"
1	" The Dodgers beat the Red Sox and were beaten by the Giants. (Corrected sentence)
"
1	" The correct version of the sentence would be: ""In which car was the man seen?""
"
1	" The man whom Mary loves and Sally hates computed my tax.
"
1	" The kennel that Mary made and Fido sleeps has been stolen.
"
1	" The correct sentence is: Tom said he would eat a raw eggplant, and Bill actually did so.
"
1	" The wealthy young man bought that piano for his secret fiancée.
"
1	" The correct version of the sentence is ""The turkey was stolen by the dog.""
"
1	" The correct version of your sentence is ""a tall building.""
"
1	" The correct version of your sentence is: This building stands tall.
"
1	" Here's the corrected sentence for you: I like the book that you gave me.
"
1	" The correct version of your sentence is: Captain Wentworth wrote a letter to Anne Elliott.
"
1	" The correct version of the sentence should be: She asked if Alison was coming to the party.
"
1	" Here's the corrected sentence: They realized that Sir Thomas had never been so offended.
"
1	" Here's the corrected sentence: Fanny regretted having to talk to Aunt Norris.
"
1	" Here's the corrected sentence: Knowing the country well, he took a short cut.
"
1	" The correct version of the sentence is: He left the train with someone else's wallet in his pocket.
"
1	" There's no need to make any changes. The sentence ""Magnus went to Ireland"" is already perfect!
"
1	" The correct version of your sentence is: Who did John send the book to?
"
1	" The idea dismayed the Prime Minister that the Dome was dull. (Corrected sentence)
"
1	" The correct version of your sentence would be: He came right in without so much as a knock.
"
1	" The correct version of your sentence is: Harriet admired Mr Knightley.
"
1	" The book is dull. (Corrected sentence)
"
1	" The correct version of your sentence is: Ethel wishes to ask you some uncomfortable questions.
"
1	" The correct version of your sentence is: Emma made some food for Harriet.
"
1	" The correct version of the sentence is: The window was broken by using a hammer.
"
1	" The fugitive lay motionless to avoid discovery.
"
1	" The guard marched the prisoners around the yard.
"
1	" The correct version of your sentence is: Frank Churchill crossed the road.
"
1	" The correct version of your sentence is: Emma and Harriet were attacked yesterday.
"
1	" The correct version of your sentence is: Fiona might arrive by 5 o'clock.
"
1	" Here's the corrected sentence for clarity purposes: I am both expecting to get the job and believe it is a desirable one.
"
1	" Here's the corrected sentence: Pat was awarded the Golden Fleece Award, but she was very upset about it.
"
0	" The corrected sentence should read: Kim alienated cats and beat his dog.
"
1	" The correct version of your sentence is: They knew that pictures of each other would be on sale.
"
1	" The correct version of the sentence would be: ""Which article did Terry file papers without reading?""
"
1	" The correct version of your sentence is: I want to try some whiskey.
"
1	" Yes. There are no strict grammar mistakes in your sentence. However, I suggest using ""goes to buy"" instead of ""goes and buying."" The phrase ""and buying"" is not necessary and can be omitted. Here's the corrected version: She goes to buy some whiskey.
"
1	" The correct version of your sentence is: Kim and Terry are happy.
"
1	" The correct version of your sentence is: Kim gave a dollar to Bobbie and a dime to Jean.
"
1	" Here's the corrected sentence: This girl in the red coat will put a picture of Bill in both the mailbox and on your desk before tomorrow.
"
1	" Here's the corrected sentence: This girl in the red coat will put a picture of Bill on your desk before tomorrow.
"
1	" Here's the corrected sentence for you: The girl in the red coat will put a picture of Bill on your desk before tomorrow.
"
1	" There is no need to revise your sentence as it is already perfect!
"
1	" The correct version of the sentence would be ""John became deadly afraid of flying.""
"
1	" The correct version of the sentence is: What John promised was to be gentle.
"
1	" Here's the corrected sentence: Henri wants to buy which cookbooks about cooking?
"
1	" The correct version of your sentence is: I will fix the computer for Carol's benefit.
"
1	" The correct version of the sentence is: Smith lent a valuable collection of manuscripts to the library.
"
1	" The paper is cut by Mary. (Corrected sentence)
"
1	" The correct version of your sentence is: It took place from six to nine.
"
